inputName,text,data,bss
values_11,11808,208,376
values_19,11536,464,376
values_12,11808,208,376
values_38,11536,816,376
values_81,11536,816,376
values_5,11536,1040,376
values_40,11536,1104,376
values_70,11536,1168,376
values_23,12032,312,376
values_72,11536,504,376
values_79,11536,464,376
values_78,11536,928,376
values_87,11536,984,376
values_6,11632,144,376
values_68,11536,464,376
values_69,11536,768,376
values_1,11536,504,376
values_45,11536,672,376
values_33,11760,192,376
values_15,11536,504,376
values_93,12032,312,376
values_24,11536,1168,376
values_25,11536,984,376
values_26,11536,1040,376
values_48,11536,1040,376
values_71,11536,768,376
values_76,11536,544,376
values_7,11536,1104,376
values_50,12160,400,376
values_22,11536,984,376
values_4,11536,624,376
values_32,12208,432,376
values_77,11808,208,376
values_91,11536,872,376
values_42,11760,192,376
values_13,12032,312,376
values_41,12112,368,376
values_55,12128,160,376
values_31,11536,928,376
values_66,11536,672,376
values_65,11536,984,376
values_62,11536,504,376
values_21,11936,264,376
values_95,11536,872,376
values_84,11984,288,376
values_58,11536,464,376
values_64,11536,816,376
values_83,12112,368,376
values_94,11520,720,376
values_0,11536,768,376
values_99,11536,504,376
values_96,12160,152,376
values_67,12032,312,376
values_61,11536,504,376
values_43,12160,400,376
values_2,11536,1104,376
values_54,12992,176,376
values_30,12992,176,376
values_59,11536,872,376
values_85,11536,1168,376
values_74,11536,1104,376
values_90,11536,544,376
values_18,12032,312,376
values_52,11536,928,376
values_44,11536,1040,376
values_17,11632,144,376
values_36,11536,504,376
values_49,11808,208,376
values_86,11536,1040,376
values_37,11536,984,376
values_56,11536,624,376
values_63,11536,984,376
values_35,12128,160,376
values_97,11536,544,376
values_75,11632,144,376
values_57,11536,928,376
values_88,12080,336,376
values_10,12160,152,376
values_53,11536,1168,376
values_8,11984,288,376
values_39,11536,544,376
values_47,12208,432,376
values_60,11536,1040,376
values_89,11536,984,376
values_51,11536,1040,376
values_14,11904,240,376
values_28,11856,224,376
values_16,12208,432,376
values_34,11856,224,376
values_82,11856,224,376
values_46,11536,584,376
values_27,11536,672,376
values_20,12512,168,376
values_9,11536,928,376
values_92,11904,240,376
values_3,11536,984,376
values_98,12032,312,376
values_29,11536,872,376
values_80,12208,432,376
values_73,12208,432,376
