inputName,text,data,bss
values_11,252,16,0
values_19,252,16,0
values_12,252,16,0
values_38,252,16,0
values_81,252,16,0
values_5,252,16,0
values_40,252,16,0
values_70,252,16,0
values_23,252,16,0
values_72,252,16,0
values_79,252,16,0
values_78,252,16,0
values_87,252,16,0
values_6,252,16,0
values_68,252,16,0
values_69,252,16,0
values_1,252,16,0
values_45,252,16,0
values_33,252,16,0
values_15,252,16,0
values_93,252,16,0
values_24,252,16,0
values_25,252,16,0
values_26,252,16,0
values_48,252,16,0
values_71,252,16,0
values_76,252,16,0
values_7,252,16,0
values_50,252,16,0
values_22,252,16,0
values_4,252,16,0
values_32,252,16,0
values_77,252,16,0
values_91,252,16,0
values_42,252,16,0
values_13,252,16,0
values_41,252,16,0
values_55,252,16,0
values_31,252,16,0
values_66,252,16,0
values_65,252,16,0
values_62,252,16,0
values_21,252,16,0
values_95,252,16,0
values_84,252,16,0
values_58,252,16,0
values_64,252,16,0
values_83,252,16,0
values_94,252,16,0
values_0,252,16,0
values_99,252,16,0
values_96,252,16,0
values_67,252,16,0
values_61,252,16,0
values_43,252,16,0
values_2,252,16,0
values_54,252,16,0
values_30,252,16,0
values_59,252,16,0
values_85,252,16,0
values_74,252,16,0
values_90,252,16,0
values_18,252,16,0
values_52,252,16,0
values_44,252,16,0
values_17,252,16,0
values_36,252,16,0
values_49,252,16,0
values_86,252,16,0
values_37,252,16,0
values_56,252,16,0
values_63,252,16,0
values_35,252,16,0
values_97,252,16,0
values_75,252,16,0
values_57,252,16,0
values_88,252,16,0
values_10,252,16,0
values_53,252,16,0
values_8,252,16,0
values_39,252,16,0
values_47,252,16,0
values_60,252,16,0
values_89,252,16,0
values_51,252,16,0
values_14,252,16,0
values_28,252,16,0
values_16,252,16,0
values_34,252,16,0
values_82,252,16,0
values_46,252,16,0
values_27,252,16,0
values_20,252,16,0
values_9,252,16,0
values_92,252,16,0
values_3,252,16,0
values_98,252,16,0
values_29,252,16,0
values_80,252,16,0
values_73,252,16,0
