inputName,text,data,bss
values_11,200,72,0
values_19,200,88,0
values_12,200,108,0
values_38,200,36,0
values_81,200,36,0
values_5,200,24,0
values_40,200,16,0
values_70,80,8,0
values_23,200,64,0
values_72,200,28,0
values_79,200,48,0
values_78,200,20,0
values_87,200,36,0
values_6,200,44,0
values_68,200,52,0
values_69,200,28,0
values_1,200,76,0
values_45,200,32,0
values_33,200,112,0
values_15,200,48,0
values_93,200,96,0
values_24,80,8,0
values_25,200,44,0
values_26,200,44,0
values_48,200,120,0
values_71,200,84,0
values_76,200,100,0
values_7,200,44,0
values_50,200,48,0
values_22,200,112,0
values_4,200,52,0
values_32,200,32,0
values_77,200,48,0
values_91,200,116,0
values_42,200,124,0
values_13,200,24,0
values_41,200,120,0
values_55,200,116,0
values_31,200,88,0
values_66,200,20,0
values_65,200,92,0
values_62,200,116,0
values_21,200,64,0
values_95,200,36,0
values_84,200,64,0
values_58,200,116,0
values_64,200,128,0
values_83,200,124,0
values_94,200,28,0
values_0,200,76,0
values_99,200,44,0
values_96,80,8,0
values_67,200,28,0
values_61,200,60,0
values_43,200,72,0
values_2,200,60,0
values_54,200,88,0
values_30,200,88,0
values_59,200,96,0
values_85,200,40,0
values_74,200,72,0
values_90,200,120,0
values_18,200,112,0
values_52,200,112,0
values_44,200,64,0
values_17,200,32,0
values_36,200,16,0
values_49,200,68,0
values_86,200,24,0
values_37,200,56,0
values_56,200,88,0
values_63,200,36,0
values_35,200,88,0
values_97,200,60,0
values_75,200,128,0
values_57,200,32,0
values_88,200,104,0
values_10,200,120,0
values_53,200,112,0
values_8,200,104,0
values_39,200,32,0
values_47,200,36,0
values_60,200,108,0
values_89,200,64,0
values_51,200,100,0
values_14,200,72,0
values_28,200,104,0
values_16,200,40,0
values_34,200,100,0
values_82,200,120,0
values_46,200,32,0
values_27,200,16,0
values_20,200,48,0
values_9,200,24,0
values_92,200,56,0
values_3,200,84,0
values_98,200,48,0
values_29,200,28,0
values_80,200,20,0
values_73,200,96,0
