inputName,text,data,bss
values_11,408,44,0
values_19,408,50,0
values_12,412,8,0
values_38,408,20,0
values_81,408,10,0
values_5,408,18,0
values_40,408,52,0
values_70,408,46,0
values_23,408,32,0
values_72,408,16,0
values_79,408,34,0
values_78,408,42,0
values_87,408,16,0
values_6,408,64,0
values_68,408,24,0
values_69,408,10,0
values_1,408,32,0
values_45,408,60,0
values_33,408,22,0
values_15,408,48,0
values_93,408,50,0
values_24,408,64,0
values_25,408,32,0
values_26,408,18,0
values_48,408,22,0
values_71,408,26,0
values_76,408,12,0
values_7,408,24,0
values_50,408,54,0
values_22,408,48,0
values_4,408,48,0
values_32,408,24,0
values_77,408,14,0
values_91,408,60,0
values_42,408,62,0
values_13,408,28,0
values_41,368,4,0
values_55,408,10,0
values_31,408,40,0
values_66,412,8,0
values_65,408,50,0
values_62,408,20,0
values_21,408,18,0
values_95,408,40,0
values_84,408,20,0
values_58,404,6,0
values_64,408,60,0
values_83,408,54,0
values_94,404,6,0
values_0,408,60,0
values_99,408,30,0
values_96,408,12,0
values_67,368,4,0
values_61,412,8,0
values_43,408,38,0
values_2,408,50,0
values_54,408,34,0
values_30,412,8,0
values_59,408,58,0
values_85,408,28,0
values_74,408,18,0
values_90,408,42,0
values_18,412,8,0
values_52,408,46,0
values_44,408,62,0
values_17,408,64,0
values_36,408,42,0
values_49,408,44,0
values_86,408,40,0
values_37,408,38,0
values_56,408,56,0
values_63,408,64,0
values_35,408,50,0
values_97,408,22,0
values_75,408,32,0
values_57,408,54,0
values_88,408,14,0
values_10,408,28,0
values_53,408,64,0
values_8,408,44,0
values_39,408,44,0
values_47,408,10,0
values_60,408,26,0
values_89,408,64,0
values_51,408,26,0
values_14,408,18,0
values_28,412,8,0
values_16,368,4,0
values_34,408,14,0
values_82,408,64,0
values_46,408,56,0
values_27,408,38,0
values_20,408,10,0
values_9,408,36,0
values_92,408,26,0
values_3,408,36,0
values_98,408,38,0
values_29,408,10,0
values_80,408,56,0
values_73,408,56,0
